book_ref,book_date,total_amount
00000F,2017-07-05 03:12:00+03,265700
12,2017-07-14 09:02:00+03,37900
68,2017-08-15 14:27:00+03,18100
181,2017-08-10 13:28:00+03,131800
0002D8,2017-08-07 21:40:00+03,23600
0002DB,2017-07-29 06:30:00+03,101500
2.00E+00,2017-07-11 16:09:00+03,89600
0002F3,2017-07-10 05:31:00+03,69600
00034E,2017-08-04 16:52:00+03,73300
352,2017-07-06 02:02:00+03,109500
374,2017-08-12 10:13:00+03,136200
00044D,2017-07-30 00:24:00+03,6000
00044E,2017-07-17 05:39:00+03,140100
0004B0,2017-07-28 09:00:00+03,12000
4.00E+01,2017-07-31 17:34:00+03,139300
511,2017-07-01 03:40:00+03,26700
00053F,2017-08-06 03:15:00+03,6000
00054E,2017-07-15 10:54:00+03,50700
5.00E+07,2017-07-03 09:25:00+03,28800
0005F4,2017-08-09 02:14:00+03,95400
0005FF,2017-07-18 03:27:00+03,56300
00067B,2017-07-12 02:35:00+03,296700
0006C3,2017-08-02 11:42:00+03,59400
0006F5,2017-08-04 22:10:00+03,80200
735,2017-07-08 12:19:00+03,51900
769,2017-07-08 18:05:00+03,32800
784,2017-07-27 21:51:00+03,28800
0007A9,2017-07-14 08:17:00+03,43200
0007ED,2017-07-10 19:18:00+03,137700
0007FC,2017-07-04 12:09:00+03,75600
836,2017-08-12 23:28:00+03,23400
842,2017-07-09 22:55:00+03,81700
859,2017-07-05 06:12:00+03,234800
862,2017-08-07 14:23:00+03,45500
0008DF,2017-07-25 12:33:00+03,92400
0008F4,2017-08-01 00:33:00+03,28000
0008FD,2017-07-04 15:58:00+03,24400
909,2017-08-01 04:30:00+03,99700
917,2017-07-27 00:01:00+03,28000
00094B,2017-08-15 03:38:00+03,67000
00098F,2017-07-23 02:05:00+03,38600
999,2017-07-23 05:37:00+03,31100
0009D5,2017-07-16 06:16:00+03,88900
0009ED,2017-07-08 14:25:00+03,14000
000A1E,2017-07-19 10:25:00+03,80000
000A39,2017-07-01 03:29:00+03,23400
000AA7,2017-07-13 22:15:00+03,59000
